tld,type,language_code,sponsor,punycode,translation,romanized,rtl
family,gTLD,,United TLD Holdco Ltd.,,,,False
fan,gTLD,,Asiamix Digital Ltd,,,,False
fans,gTLD,,ZDNS International Limited,,,,False
farm,gTLD,,"Binky Moon, LLC",,,,False
farmers,gTLD,,Farmers Insurance Exchange,,,,False
fashion,gTLD,,Minds + Machines Group Limited,,,,False
fast,gTLD,,"Amazon Registry Services, Inc.",,,,False
fedex,gTLD,,Federal Express Corporation,,,,False
feedback,gTLD,,"Top Level Spectrum, Inc.",,,,False
ferrari,gTLD,,Fiat Chrysler Automobiles N.V.,,,,False
ferrero,gTLD,,Ferrero Trading Lux S.A.,,,,False
fi,ccTLD,,Finnish Transport and Communications Agency Traficom,,,,False
fiat,gTLD,,Fiat Chrysler Automobiles N.V.,,,,False
fidelity,gTLD,,Fidelity Brokerage Services LLC,,,,False
fido,gTLD,,Rogers Communications Canada Inc.,,,,False
film,gTLD,,Motion Picture Domain Registry Pty Ltd,,,,False
final,gTLD,,Núcleo de Informação e Coordenação do Ponto BR - NIC.br,,,,False
finance,gTLD,,"Binky Moon, LLC",,,,False
financial,gTLD,,"Binky Moon, LLC",,,,False
fire,gTLD,,"Amazon Registry Services, Inc.",,,,False
firestone,gTLD,,"Bridgestone Licensing Services, Inc.",,,,False
firmdale,gTLD,,Firmdale Holdings Limited,,,,False
fish,gTLD,,"Binky Moon, LLC",,,,False
fishing,gTLD,,Minds + Machines Group Limited,,,,False
fit,gTLD,,Minds + Machines Group Limited,,,,False
fitness,gTLD,,"Binky Moon, LLC",,,,False
fj,ccTLD,,The University of the South Pacific IT Services,,,,False
fk,ccTLD,,Falkland Islands Government,,,,False
flickr,gTLD,,"Flickr, Inc.",,,,False
flights,gTLD,,"Binky Moon, LLC",,,,False
flir,gTLD,,"FLIR Systems, Inc.",,,,False
florist,gTLD,,"Binky Moon, LLC",,,,False
flowers,gTLD,,"Uniregistry, Corp.",,,,False
flsmidth,gTLD,,Retired,,,,False
fly,gTLD,,Charleston Road Registry Inc.,,,,False
fm,ccTLD,,FSM Telecommunications Corporation,,,,False
fo,ccTLD,,FO Council,,,,False
foo,gTLD,,Charleston Road Registry Inc.,,,,False
food,gTLD,,"Lifestyle Domain Holdings, Inc.",,,,False
foodnetwork,gTLD,,"Lifestyle Domain Holdings, Inc.",,,,False
football,gTLD,,"Binky Moon, LLC",,,,False
ford,gTLD,,Ford Motor Company,,,,False
forex,gTLD,,DOTFOREX REGISTRY LTD,,,,False
forsale,gTLD,,"United TLD Holdco, LLC",,,,False
forum,gTLD,,"Fegistry, LLC",,,,False
foundation,gTLD,,"Binky Moon, LLC",,,,False
fox,gTLD,,"FOX Registry, LLC",,,,False
fr,ccTLD,,Association Française pour le Nommage Internet en Coopération (A.F.N.I.C.),,,,False
free,gTLD,,"Amazon Registry Services, Inc.",,,,False
fresenius,gTLD,,Fresenius Immobilien-Verwaltungs-GmbH,,,,False
frl,gTLD,,FRLregistry B.V.,,,,False
frogans,gTLD,,OP3FT,,,,False
frontdoor,gTLD,,"Lifestyle Domain Holdings, Inc.",,,,False
frontier,gTLD,,Frontier Communications Corporation,,,,False
ftr,gTLD,,Frontier Communications Corporation,,,,False
fujitsu,gTLD,,Fujitsu Limited,,,,False
fujixerox,gTLD,,Xerox DNHC LLC,,,,False
fun,gTLD,,"DotSpace, Inc.",,,,False
fund,gTLD,,"Binky Moon, LLC",,,,False
furniture,gTLD,,"Binky Moon, LLC",,,,False
futbol,gTLD,,"United TLD Holdco, Ltd.",,soccer,,False
fyi,gTLD,,"Binky Moon, LLC",,,,False
ga,ccTLD,,Agence Nationale des Infrastructures Numériques et des Fréquences (ANINF),,,,False
gal,gTLD,,Asociación puntoGAL,,,,False
gallery,gTLD,,"Binky Moon, LLC",,,,False
gallo,gTLD,,"Gallo Vineyards, Inc.",,,,False
gallup,gTLD,,"Gallup, Inc.",,,,False
game,gTLD,,"Uniregistry, Corp.",,,,False
games,gTLD,,United TLD Holdco Ltd.,,,,False
gap,gTLD,,"The Gap, Inc.",,,,False
garden,gTLD,,Minds + Machines Group Limited,,,,False
gay,gTLD,,"Top Level Design, LLC",,,,False
gb,ccTLD,,Reserved Domain - IANA,,,,False
gbiz,gTLD,,Charleston Road Registry Inc.,,,,False
gd,ccTLD,,The National Telecommunications Regulatory Commission (NTRC),,,,False
gdn,gTLD,,"Joint Stock Company ""Navigation-information systems""",,,,False
ge,ccTLD,,Caucasus Online LLC,,,,False
gea,gTLD,,GEA Group Aktiengesellschaft,,,,False
gent,gTLD,,Combell nv,,,,False
genting,gTLD,,Resorts World Inc. Pte. Ltd.,,,,False
george,gTLD,,"Wal-Mart Stores, Inc.",,,,False
gf,ccTLD,,Net Plus,,,,False
gg,ccTLD,,Island Networks Ltd.,,,,False
ggee,gTLD,,"GMO Internet, Inc.",,,,False
gh,ccTLD,,Network Computer Systems Limited,,,,False
gi,ccTLD,,Sapphire Networks,,,,False
gift,gTLD,,"Uniregistry, Corp.",,,,False
gifts,gTLD,,"Binky Moon, LLC",,,,False
gives,gTLD,,United TLD Holdco Ltd.,,,,False
giving,gTLD,,Giving Limited,,,,False
gl,ccTLD,,TELE Greenland A/S,,,,False
glade,gTLD,,"Johnson Shareholdings, Inc.",,,,False
glass,gTLD,,"Binky Moon, LLC",,,,False
gle,gTLD,,Charleston Road Registry Inc.,,,,False
global,gTLD,,Dot Global Domain Registry Limited,,,,False
globo,gTLD,,Globo Comunicação e Participações S.A,,,,False
gm,ccTLD,,GM-NIC,,,,False
gmail,gTLD,,Charleston Road Registry Inc.,,,,False
gmbh,gTLD,,"Binky Moon, LLC",,company,,False
gmo,gTLD,,"GMO Internet, Inc.",,,,False
gmx,gTLD,,1&1 Mail & Media GmbH,,,,False
gn,ccTLD,,Centre National des Sciences Halieutiques de Boussoura,,,,False
godaddy,gTLD,,"Go Daddy East, LLC",,,,False
gold,gTLD,,"Binky Moon, LLC",,,,False
goldpoint,gTLD,,"YODOBASHI CAMERA CO.,LTD.",,,,False
golf,gTLD,,"Binky Moon, LLC",,,,False
goo,gTLD,,NTT Resonant Inc.,,,,False
goodhands,gTLD,,Not assigned,,,,False
goodyear,gTLD,,The Goodyear Tire & Rubber Company,,,,False
goog,gTLD,,Charleston Road Registry Inc.,,,,False
google,gTLD,,Charleston Road Registry Inc.,,,,False
gop,gTLD,,"Republican State Leadership Committee, Inc.",,,,False
got,gTLD,,"Amazon Registry Services, Inc.",,,,False
gov,sTLD,,"General Services Administration Attn: QTDC, 2E08 (.gov Domain Registration)",,,,False
gp,ccTLD,,Networking Technologies Group,,,,False
gq,ccTLD,,GETESA,,,,False
gr,ccTLD,,ICS-FORTH GR,,,,False
grainger,gTLD,,"Grainger Registry Services, LLC",,,,False
graphics,gTLD,,"Binky Moon, LLC",,,,False
gratis,gTLD,,"Binky Moon, LLC",,free,,False
green,gTLD,,Afilias Limited,,,,False
gripe,gTLD,,"Binky Moon, LLC",,,,False
grocery,gTLD,,"Wal-Mart Stores, Inc.",,,,False
group,gTLD,,"Binky Moon, LLC",,,,False
gs,ccTLD,,Government of South Georgia and South Sandwich Islands (GSGSSI),,,,False
gt,ccTLD,,Universidad del Valle de Guatemala,,,,False
gu,ccTLD,,University of Guam,,,,False
guardian,gTLD,,The Guardian Life Insurance Company of America,,,,False
gucci,gTLD,,Guccio Gucci S.p.a.,,,,False
guge,gTLD,,Charleston Road Registry Inc.,,,,False
guide,gTLD,,"Binky Moon, LLC",,,,False
guitars,gTLD,,"Uniregistry, Corp.",,,,False
guru,gTLD,,"Binky Moon, LLC",,,,False
gw,ccTLD,,Autoridade Reguladora Nacional - Tecnologias de Informação e Comunicação da Guiné-Bissau,,,,False
gy,ccTLD,,University of Guyana,,,,False
hair,gTLD,,XYZ.COM LLC,,,,False
hamburg,gTLD,,Hamburg Top-Level-Domain GmbH,,,,False
hangout,gTLD,,Charleston Road Registry Inc.,,,,False
haus,gTLD,,"United TLD Holdco, LTD.",,house,,False
hbo,gTLD,,"HBO Registry Services, Inc.",,,,False
hdfc,gTLD,,HOUSING DEVELOPMENT FINANCE CORPORATION LIMITED,,,,False
hdfcbank,gTLD,,HDFC Bank Limited,,,,False
health,gTLD,,"DotHealth, LLC",,,,False
healthcare,gTLD,,"Binky Moon, LLC",,,,False
help,gTLD,,"Uniregistry, Corp.",,,,False
helsinki,gTLD,,City of Helsinki,,,,False
here,gTLD,,Charleston Road Registry Inc.,,,,False
hermes,gTLD,,Hermes International,,,,False
hgtv,gTLD,,"Lifestyle Domain Holdings, Inc.",,,,False
hiphop,gTLD,,"Uniregistry, Corp.",,,,False
hisamitsu,gTLD,,"Hisamitsu Pharmaceutical Co.,Inc.",,,,False
hitachi,gTLD,,"Hitachi, Ltd.",,,,False
hiv,gTLD,,"Uniregistry, Corp.",,,,False
hk,ccTLD,,Hong Kong Internet Registration Corporation Ltd.,,,,False
hkt,gTLD,,PCCW-HKT DataCom Services Limited,,,,False
hm,ccTLD,,HM Domain Registry,,,,False
hn,ccTLD,,Red de Desarrollo Sostenible Honduras,,,,False
hockey,gTLD,,"Binky Moon, LLC",,,,False
holdings,gTLD,,"Binky Moon, LLC",,,,False
holiday,gTLD,,"Binky Moon, LLC",,,,False
homedepot,gTLD,,"Home Depot Product Authority, LLC",,,,False
homegoods,gTLD,,"The TJX Companies, Inc.",,,,False
homes,gTLD,,"DERHomes, LLC",,,,False
homesense,gTLD,,"The TJX Companies, Inc.",,,,False
honda,gTLD,,"Honda Motor Co., Ltd.",,,,False
honeywell,gTLD,,Not assigned,,,,False
horse,gTLD,,Minds + Machines Group Limited,,,,False
hospital,gTLD,,"Binky Moon, LLC",,,,False
host,gTLD,,DotHost Inc.,,,,False
hosting,gTLD,,"Uniregistry, Corp.",,,,False
hot,gTLD,,"Amazon Registry Services, Inc.",,,,False
hoteles,gTLD,,Travel Reservations SRL,,hotels,,False
hotels,gTLD,,Booking.com B.V.,,,,False
hotmail,gTLD,,Microsoft Corporation,,,,False
house,gTLD,,"Binky Moon, LLC",,,,False
how,gTLD,,Charleston Road Registry Inc.,,,,False
hr,ccTLD,,CARNet - Croatian Academic and Research Network,,,,False
hsbc,gTLD,,HSBC Global Services (UK) Limited,,,,False
ht,ccTLD,,Consortium FDS/RDDH,,,,False
htc,gTLD,,Not assigned,,,,False
hu,ccTLD,,Council of Hungarian Internet Providers (CHIP),,,,False
hughes,gTLD,,Hughes Satellite Systems Corporation,,,,False
hyatt,gTLD,,"Hyatt GTLD, L.L.C.",,,,False
hyundai,gTLD,,Hyundai Motor Company,,,,False
ibm,gTLD,,International Business Machines Corporation,,,,False
icbc,gTLD,,Industrial and Commercial Bank of China Limited,,,,False
ice,gTLD,,"IntercontinentalExchange, Inc.",,,,False
icu,gTLD,,Shortdot SA,,,,False
id,ccTLD,,Perkumpulan Pengelola Nama Domain Internet Indonesia (PANDI),,,,False
ie,ccTLD,,University College Dublin Computing Services Computer Centre,,,,False
ieee,gTLD,,IEEE Global LLC,,,,False
ifm,gTLD,,ifm electronic gmbh,,,,False
iinet,gTLD,,Retired,,,,False
ikano,gTLD,,Ikano S.A.,,,,False
il,ccTLD,,Internet Society of Israel,,,,False
im,ccTLD,,Isle of Man Government,,,,False
imamat,gTLD,,Fondation Aga Khan (Aga Khan Foundation),,,,False
imdb,gTLD,,"Amazon Registry Services, Inc.",,,,False
immo,gTLD,,"Binky Moon, LLC",,real estate,,False
immobilien,gTLD,,United TLD Holdco Ltd.,,real estate,,False
in,ccTLD,,National Internet Exchange of India,,,,False
inc,gTLD,,Intercap Registry Inc.,,,,False
industries,gTLD,,"Binky Moon, LLC",,,,False
infiniti,gTLD,,"NISSAN MOTOR CO., LTD.",,,,False
info,gTLD,,Afilias Limited,,,,False
ing,gTLD,,Charleston Road Registry Inc.,,,,False
ink,gTLD,,"Top Level Design, LLC",,,,False
institute,gTLD,,"Binky Moon, LLC",,,,False
insurance,gTLD,,fTLD Registry Services LLC,,,,False
insure,gTLD,,"Binky Moon, LLC",,,,False
int,sTLD,,Internet Assigned Numbers Authority,,,,False
intel,gTLD,,Not assigned,,,,False
international,gTLD,,"Binky Moon, LLC",,,,False
intuit,gTLD,,"Intuit Administrative Services, Inc.",,,,False
investments,gTLD,,"Binky Moon, LLC",,,,False
io,ccTLD,,Internet Computer Bureau Limited,,,,False
ipiranga,gTLD,,Ipiranga Produtos de Petroleo S.A.,,,,False
iq,ccTLD,,Communications and Media Commission (CMC),,,,False
ir,ccTLD,,Institute for Research in Fundamental Sciences,,,,False
irish,gTLD,,"Binky Moon, LLC",,,,False
is,ccTLD,,ISNIC - Internet Iceland ltd.,,,,False
iselect,gTLD,,Not assigned,,,,False
ismaili,gTLD,,Fondation Aga Khan (Aga Khan Foundation),,,,False
ist,gTLD,,Istanbul Metropolitan Municipality,,,,False
istanbul,gTLD,,Istanbul Metropolitan Municipality,,,,False
it,ccTLD,,IIT - CNR,,,,False
itau,gTLD,,Itau Unibanco Holding S.A.,,,,False
itv,gTLD,,ITV Services Limited,,,,False
iveco,gTLD,,CNH Industrial N.V.,,,,False
iwc,gTLD,,Not assigned,,,,False
jaguar,gTLD,,Jaguar Land Rover Ltd,,,,False
java,gTLD,,Oracle Corporation,,,,False
jcb,gTLD,,"JCB Co., Ltd.",,,,False
jcp,gTLD,,"JCP Media, Inc.",,,,False
je,ccTLD,,Island Networks (Jersey) Ltd.,,,,False
jeep,gTLD,,FCA US LLC.,,,,False
jetzt,gTLD,,"Binky Moon, LLC",,now,,False
jewelry,gTLD,,"Binky Moon, LLC",,,,False
jio,gTLD,,"Affinity Names, Inc.",,,,False
jlc,gTLD,,Not assigned,,,,False
jll,gTLD,,Jones Lang LaSalle Incorporated,,,,False
jm,ccTLD,,University of West Indies,,,,False
jmp,gTLD,,Matrix IP LLC,,,,False
jnj,gTLD,,"Johnson & Johnson Services, Inc.",,,,False
jo,ccTLD,,National Information Technology Center (NITC),,,,False
jobs,sTLD,,Employ Media LLC,,,,False
joburg,gTLD,,ZA Central Registry NPC trading as ZA Central Registry,,,,False
jot,gTLD,,"Amazon Registry Services, Inc.",,,,False
joy,gTLD,,"Amazon Registry Services, Inc.",,,,False
jp,ccTLD,,"Japan Registry Services Co., Ltd.",,,,False
jpmorgan,gTLD,,"JPMorgan Chase Bank, National Association",,,,False
jprs,gTLD,,"Japan Registry Services Co., Ltd.",,,,False
juegos,gTLD,,"Uniregistry, Corp.",,games,,False
juniper,gTLD,,"JUNIPER NETWORKS, INC.",,,,False
kaufen,gTLD,,United TLD Holdco Ltd.,,buy,,False
kddi,gTLD,,KDDI CORPORATION,,,,False
ke,ccTLD,,Kenya Network Information Center (KeNIC),,,,False
kerryhotels,gTLD,,Kerry Trading Co. Limited,,,,False
kerrylogistics,gTLD,,Kerry Trading Co. Limited,,,,False
kerryproperties,gTLD,,Kerry Trading Co. Limited,,,,False
kfh,gTLD,,Kuwait Finance House,,,,False
kg,ccTLD,,AsiaInfo Telecommunication Enterprise,,,,False
kh,ccTLD,,Telecommunication Regulator of Cambodia (TRC),,,,False
ki,ccTLD,,"Ministry of Communications, Transport, and Tourism Development",,,,False
kia,gTLD,,KIA MOTORS CORPORATION,,,,False
kim,gTLD,,Afilias Limited,,,,False
kinder,gTLD,,Ferrero Trading Lux S.A.,,children,,False
kindle,gTLD,,"Amazon Registry Services, Inc.",,,,False
kitchen,gTLD,,"Binky Moon, LLC",,,,False
kiwi,gTLD,,DOT KIWI LIMITED,,,,False
km,ccTLD,,Comores Telecom,,,,False
kn,ccTLD,,"Ministry of Finance, Sustainable Development Information & Technology",,,,False
koeln,gTLD,,dotKoeln GmbH,,,,False
komatsu,gTLD,,Komatsu Ltd.,,,,False
kosher,gTLD,,Kosher Marketing Assets LLC,,,,False
kp,ccTLD,,Star Joint Venture Company,,,,False
kpmg,gTLD,,KPMG International Cooperative (KPMG International Genossenschaft),,,,False
kpn,gTLD,,Koninklijke KPN N.V.,,,,False
kr,ccTLD,,Korea Internet & Security Agency (KISA),,,,False
krd,gTLD,,KRG Department of Information Technology,,,,False
kred,gTLD,,KredTLD Pty Ltd,,,,False
kuokgroup,gTLD,,Kerry Trading Co. Limited,,,,False
kw,ccTLD,,Communications and Information Technology Regulatory Authority,,,,False
ky,ccTLD,,Utility Regulation and Competition Office (OfReg),,,,False
kyoto,gTLD,,Academic Institution: Kyoto Jyoho Gakuen,,,,False
kz,ccTLD,,Association of IT Companies of Kazakhstan,,,,False
la,ccTLD,,"Lao National Internet Committee (LANIC), Ministry of Posts and Telecommunications",,,,False
lacaixa,gTLD,,CAIXA D'ESTALVIS I PENSIONS DE BARCELONA,,,,False
ladbrokes,gTLD,,Not assigned,,,,False
lamborghini,gTLD,,Automobili Lamborghini S.p.A.,,,,False
lamer,gTLD,,The Estée Lauder Companies Inc.,,,,False
lancaster,gTLD,,LANCASTER,,,,False
lancia,gTLD,,Fiat Chrysler Automobiles N.V.,,,,False
lancome,gTLD,,Not assigned,,,,False
land,gTLD,,"Binky Moon, LLC",,,,False
landrover,gTLD,,Jaguar Land Rover Ltd,,,,False
lanxess,gTLD,,LANXESS Corporation,,,,False
lasalle,gTLD,,Jones Lang LaSalle Incorporated,,,,False
lat,gTLD,,ECOM-LAC Federación de Latinoamérica y el Caribe para Internet y el Comercio Electrónico,,,,False
latino,gTLD,,Dish DBS Corporation,,,,False
latrobe,gTLD,,La Trobe University,,,,False
law,gTLD,,LW TLD Limited,,,,False
lawyer,gTLD,,"United TLD Holdco, Ltd",,,,False
lb,ccTLD,,American University of Beirut Computing and Networking Services,,,,False
lc,ccTLD,,University of Puerto Rico,,,,False
lds,gTLD,,"IRI Domain Management, LLC",,,,False
lease,gTLD,,"Binky Moon, LLC",,,,False
leclerc,gTLD,,A.C.D. LEC Association des Centres Distributeurs Edouard Leclerc,,,,False
lefrak,gTLD,,"LeFrak Organization, Inc.",,,,False
legal,gTLD,,"Binky Moon, LLC",,,,False
lego,gTLD,,LEGO Juris A/S,,,,False
lexus,gTLD,,TOYOTA MOTOR CORPORATION,,,,False
lgbt,gTLD,,Afilias Limited,,,,False
li,ccTLD,,SWITCH The Swiss Education & Research Network,,,,False
liaison,gTLD,,Not assigned,,,,False
lidl,gTLD,,Schwarz Domains und Services GmbH & Co. KG,,,,False
life,gTLD,,"Binky Moon, LLC",,,,False
lifeinsurance,gTLD,,American Council of Life Insurers,,,,False
lifestyle,gTLD,,"Lifestyle Domain Holdings, Inc.",,,,False
lighting,gTLD,,"Binky Moon, LLC",,,,False
like,gTLD,,"Amazon Registry Services, Inc.",,,,False
lilly,gTLD,,Eli Lilly and Company,,,,False
limited,gTLD,,"Binky Moon, LLC",,,,False
limo,gTLD,,"Binky Moon, LLC",,,,False
lincoln,gTLD,,Ford Motor Company,,,,False
linde,gTLD,,Linde Aktiengesellschaft,,,,False
link,gTLD,,"Uniregistry, Corp.",,,,False
lipsy,gTLD,,Lipsy Ltd,,,,False
live,gTLD,,United TLD Holdco Ltd.,,,,False
living,gTLD,,"Lifestyle Domain Holdings, Inc.",,,,False
lixil,gTLD,,LIXIL Group Corporation,,,,False
lk,ccTLD,,Council for Information Technology LK Domain Registrar,,,,False
llc,gTLD,,Afilias Limited,,,,False
llp,gTLD,,Dot Registry LLC,,,,False
loan,gTLD,,dot Loan Limited,,,,False
loans,gTLD,,"Binky Moon, LLC",,,,False
locker,gTLD,,Dish DBS Corporation,,,,False
locus,gTLD,,Locus Analytics LLC,,,,False
loft,gTLD,,"Annco, Inc.",,,,False
lol,gTLD,,"Uniregistry, Corp.",,,,False
london,gTLD,,Dot London Domains Limited,,,,False
lotte,gTLD,,"Lotte Holdings Co., Ltd.",,,,False
lotto,gTLD,,Afilias Limited,,,,False
love,gTLD,,Merchant Law Group LLP,,,,False
lpl,gTLD,,"LPL Holdings, Inc.",,,,False
lplfinancial,gTLD,,"LPL Holdings, Inc.",,,,False
lr,ccTLD,,"Data Technology Solutions, Inc.",,,,False
ls,ccTLD,,Lesotho Network Information Centre Proprietary (LSNIC),,,,False
lt,ccTLD,,Kaunas University of Technology,,,,False
ltd,gTLD,,"Binky Moon, LLC",,,,False
ltda,gTLD,,InterNetX Corp.,,companies in south america,,False
lu,ccTLD,,RESTENA,,,,False
lundbeck,gTLD,,H. Lundbeck A/S,,,,False
lupin,gTLD,,LUPIN LIMITED,,,,False
luxe,gTLD,,Minds + Machines Group Limited,,,,False
luxury,gTLD,,Luxury Partners LLC,,,,False
lv,ccTLD,,University of Latvia Institute of Mathematics and Computer Science Department of Network Solutions (DNS),,,,False
ly,ccTLD,,General Post and Telecommunication Company,,,,False
ma,ccTLD,,Agence Nationale de Réglementation des Télécommunications (ANRT),,,,False
macys,gTLD,,"Macys, Inc.",,,,False
madrid,gTLD,,Comunidad de Madrid,,,,False
maif,gTLD,,Mutuelle Assurance Instituteur France (MAIF),,,,False
maison,gTLD,,"Binky Moon, LLC",,house,,False
makeup,gTLD,,XYZ.COM LLC,,,,False
man,gTLD,,MAN SE,,,,False
management,gTLD,,"Binky Moon, LLC",,,,False
mango,gTLD,,PUNTO FA S.L.,,,,False
map,gTLD,,Charleston Road Registry Inc.,,,,False
market,gTLD,,"United TLD Holdco, Ltd",,,,False
marketing,gTLD,,"Binky Moon, LLC",,,,False
markets,gTLD,,DOTMARKETS REGISTRY LTD,,,,False
marriott,gTLD,,Marriott Worldwide Corporation,,,,False
marshalls,gTLD,,"The TJX Companies, Inc.",,,,False
maserati,gTLD,,Fiat Chrysler Automobiles N.V.,,,,False
mattel,gTLD,,"Mattel Sites, Inc.",,,,False
mba,gTLD,,"Binky Moon, LLC",,,,False
mc,ccTLD,,Gouvernement de Monaco Direction des Communications Electroniques,,,,False
mcd,gTLD,,Not assigned,,,,False
mcdonalds,gTLD,,Not assigned,,,,False
mckinsey,gTLD,,"McKinsey Holdings, Inc.",,,,False
md,ccTLD,,MoldData S.E.,,,,False
me,ccTLD,,Government of Montenegro,,,,False
med,gTLD,,Medistry LLC,,,,False
media,gTLD,,"Binky Moon, LLC",,,,False
meet,gTLD,,Charleston Road Registry Inc.,,,,False
melbourne,gTLD,,"The Crown in right of the State of Victoria, represented by its Department of State Development, Business and Innovation",,,,False
meme,gTLD,,Charleston Road Registry Inc.,,,,False
memorial,gTLD,,"Dog Beach, LLC",,,,False
men,gTLD,,Exclusive Registry Limited,,,,False
menu,gTLD,,"Wedding TLD2, LLC",,,,False
meo,gTLD,,Not assigned,,,,False
merckmsd,gTLD,,"MSD Registry Holdings, Inc.",,,,False
metlife,gTLD,,Not assigned,,,,False
mf,ccTLD,,Not assigned,,,,False
mg,ccTLD,,NIC-MG (Network Information Center Madagascar),,,,False
mh,ccTLD,,Office of the Cabinet,,,,False
miami,gTLD,,Minds + Machines Group Limited,,,,False
microsoft,gTLD,,Microsoft Corporation,,,,False
mil,sTLD,,DoD Network Information Center,,,,False
mini,gTLD,,Bayerische Motoren Werke Aktiengesellschaft,,,,False
mint,gTLD,,"Intuit Administrative Services, Inc.",,,,False
mit,gTLD,,Massachusetts Institute of Technology,,,,False
mitsubishi,gTLD,,Mitsubishi Corporation,,,,False
mk,ccTLD,,Macedonian Academic Research Network Skopje,,,,False
ml,ccTLD,,Agence des Technologies de l’Information et de la Communication,,,,False
mlb,gTLD,,"MLB Advanced Media DH, LLC",,,,False
mls,gTLD,,The Canadian Real Estate Association,,,,False
mm,ccTLD,,Ministry of Transport and Communications,,,,False
mma,gTLD,,MMA IARD,,,,False
mn,ccTLD,,"Datacom Co., Ltd.",,,,False
mo,ccTLD,,Macao Post and Telecommunications Bureau (CTT),,,,False
mobi,gTLD,,Afilias Technologies Limited dba dotMobi,,,,False
mobile,gTLD,,Dish DBS Corporation,,,,False
mobily,gTLD,,Not assigned,,,,False
moda,gTLD,,United TLD Holdco Ltd.,,fashion,,False
moe,gTLD,,"Interlink Co., Ltd.",,geek,,False
moi,gTLD,,"Amazon Registry Services, Inc.",,,,False
mom,gTLD,,"Uniregistry, Corp.",,,,False
monash,gTLD,,Monash University,,,,False
money,gTLD,,"Binky Moon, LLC",,,,False
monster,gTLD,,XYZ.COM LLC,,,,False
montblanc,gTLD,,Not assigned,,,,False
mopar,gTLD,,Not assigned,,,,False
